Name,DateTime,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_PM10,AQI_PM2.5,AQI_Site,Time
Florey,06/10/2019,6,8,24,29,29,46,46,24
Monash,06/10/2019,,11,26,31,37,84,84,24
Civic,06/10/2019,,,21,26,24,36,36,24
Civic,06/09/2019,,,20,24,30,36,36,24
Florey,06/09/2019,4,8,21,26,45,78,78,24
Monash,06/09/2019,,15,22,26,41,98,98,24
Monash,06/08/2019,,13,12,12,47,105,105,24
Florey,06/08/2019,16,13,11,12,47,89,89,24
Civic,06/08/2019,,,12,11,32,38,38,24
Monash,06/07/2019,,21,28,34,45,88,88,24
Florey,06/07/2019,14,17,27,32,46,83,83,24
Civic,06/07/2019,,,20,22,32,42,42,24
Civic,06/06/2019,,,16,16,31,39,39,24
Monash,06/06/2019,,18,23,26,47,90,90,24
Florey,06/06/2019,9,16,21,23,33,65,65,24
Civic,06/05/2019,,,27,34,13,15,34,24
Florey,06/05/2019,3,18,27,33,12,28,33,24
Monash,06/05/2019,,19,27,34,13,24,34,24
Monash,06/04/2019,,1,32,40,20,35,40,24
Florey,06/04/2019,2,3,31,39,20,28,39,24
Civic,06/04/2019,,,31,38,13,22,38,24
Florey,06/03/2019,10,11,25,30,40,82,82,24
Civic,06/03/2019,,,22,24,23,37,37,24
Monash,06/03/2019,,16,24,27,33,67,67,24
Florey,06/02/2019,13,9,24,30,38,82,82,24
Monash,06/02/2019,,18,25,31,20,41,41,24
Civic,06/02/2019,,,24,29,22,35,35,24
Florey,06/01/2019,7,17,25,30,24,48,48,24
Monash,06/01/2019,,15,25,30,25,59,59,24
Civic,06/01/2019,,,24,28,23,32,32,24
Civic,05/31/2019,,,24,29,20,26,29,24
Florey,05/31/2019,,13,20,,12,26,26,24
Monash,05/31/2019,,15,21,25,22,50,50,24
Civic,05/30/2019,,,25,30,10,10,30,24
Florey,05/30/2019,,8,24,,8,20,24,24
Monash,05/30/2019,,17,28,34,6,15,34,24
Civic,05/29/2019,,,26,32,10,8,32,24
Monash,05/29/2019,,2,30,36,5,14,36,24
Florey,05/29/2019,,2,28,,11,14,28,24
Florey,05/28/2019,,5,27,,12,20,27,24
Monash,05/28/2019,,4,28,34,7,15,34,24
Civic,05/28/2019,,,25,30,11,8,30,24
Monash,05/27/2019,,1,29,35,9,11,35,24
Civic,05/27/2019,,,26,32,32,30,32,24
Florey,05/27/2019,,1,28,,16,16,28,24
Florey,05/26/2019,,2,26,,40,58,58,24
Civic,05/26/2019,,,27,33,34,34,34,24
Monash,05/26/2019,,2,28,34,37,72,72,24
Civic,05/25/2019,,,28,35,39,43,43,24
Monash,05/25/2019,,12,30,37,51,100,100,24
Florey,05/25/2019,,16,29,,43,70,70,24
Monash,05/24/2019,,18,19,18,42,78,78,24
Civic,05/24/2019,,,21,22,34,40,40,24
Florey,05/24/2019,,18,25,,35,60,60,24
Monash,05/23/2019,,23,31,32,32,54,54,24
Civic,05/23/2019,,,30,33,34,35,35,24
Florey,05/23/2019,,19,31,,39,42,42,24
Florey,05/22/2019,,13,13,,35,53,53,24
Monash,05/22/2019,,23,29,34,30,55,55,24
Civic,05/22/2019,,,24,28,38,48,48,24
Florey,05/21/2019,,15,26,,53,90,90,24
Civic,05/21/2019,,,24,29,38,53,53,24
Monash,05/21/2019,,18,29,34,44,91,91,24
Florey,05/20/2019,,19,30,,54,98,98,24
Monash,05/20/2019,,22,30,36,48,107,107,24
Civic,05/20/2019,,,27,32,37,58,58,24
Civic,05/19/2019,,,33,39,39,55,55,24
Florey,05/19/2019,,18,36,,56,106,106,24
Monash,05/19/2019,,22,35,43,55,128,128,24
Civic,05/18/2019,,,32,38,40,52,52,24
Monash,05/18/2019,,23,32,39,55,128,128,24
Florey,05/18/2019,,20,34,,51,96,96,24
Monash,05/17/2019,,22,33,39,44,90,90,24
Civic,05/17/2019,,,28,33,41,51,51,24
Florey,05/17/2019,9,21,33,2,46,74,74,24
Florey,05/16/2019,12,23,33,35,47,85,85,24
Civic,05/16/2019,,,30,34,41,54,54,23
Monash,05/16/2019,,24,35,43,42,91,91,24
Civic,05/15/2019,,,25,28,38,53,53,24
Florey,05/15/2019,9,19,30,33,42,84,84,24
Monash,05/15/2019,,22,29,34,41,90,90,24
Monash,05/14/2019,,21,26,29,31,68,68,24
Civic,05/14/2019,,,24,25,33,46,46,24
Florey,05/14/2019,7,15,28,33,34,60,60,24
Florey,05/13/2019,11,15,22,26,39,69,69,24
Monash,05/13/2019,,14,23,27,45,106,106,24
Civic,05/13/2019,,,19,23,29,49,49,24
Monash,05/12/2019,,11,12,14,35,82,82,24
Florey,05/12/2019,7,10,17,20,28,57,57,24
Civic,05/12/2019,,,14,16,22,39,39,24
Civic,05/11/2019,,,20,25,20,24,25,24
Florey,05/11/2019,3,9,22,26,25,33,33,24
Monash,05/11/2019,,17,25,31,16,36,36,24
Monash,05/10/2019,,16,19,23,26,48,48,24
Civic,05/10/2019,,,16,18,29,35,35,24
Florey,05/10/2019,10,14,19,23,30,50,50,24
Florey,05/09/2019,6,20,27,33,23,29,33,24
Monash,05/09/2019,,20,27,34,20,36,36,24
Civic,05/09/2019,,,25,31,19,26,31,24
Monash,05/08/2019,,14,27,32,29,65,65,24
Florey,05/08/2019,7,10,24,30,38,60,60,24
Civic,05/08/2019,,,21,26,33,50,50,24
Monash,05/07/2019,,19,33,38,29,60,60,24
Florey,05/07/2019,5,18,31,37,32,54,54,24
Civic,05/07/2019,,,27,33,30,46,46,24
Civic,05/06/2019,,,22,26,15,19,26,24
Florey,05/06/2019,4,11,25,29,13,29,29,24
Monash,05/06/2019,,15,24,30,10,15,30,24
Monash,05/05/2019,,4,26,33,9,11,33,24
Florey,05/05/2019,3,7,26,32,12,19,32,24
Civic,05/05/2019,,,27,33,13,17,33,24
Florey,05/04/2019,4,7,26,32,15,24,32,24
Civic,05/04/2019,,,23,29,17,31,31,24
Monash,05/04/2019,,13,27,34,13,15,34,24
Civic,05/03/2019,,,23,27,35,28,35,24
Florey,05/03/2019,3,17,26,30,42,40,42,24
Monash,05/03/2019,,13,29,34,34,38,38,24
Civic,05/02/2019,,,24,28,53,41,53,24
Monash,05/02/2019,,12,28,34,50,56,56,24
Florey,05/02/2019,11,11,27,34,53,55,55,24
Florey,05/01/2019,8,15,22,27,60,88,88,24
Civic,05/01/2019,,,19,22,66,79,79,24
Monash,05/01/2019,,18,23,29,54,78,78,24
Civic,04/30/2019,,,32,40,66,84,84,24
Florey,04/30/2019,5,21,35,43,63,104,104,24
Monash,04/30/2019,,21,36,44,56,90,90,24
Florey,04/29/2019,5,27,40,48,43,62,62,24
Monash,04/29/2019,,28,37,44,35,52,52,24
Civic,04/29/2019,,,32,36,39,32,39,24
Civic,04/28/2019,,,25,31,25,28,31,24
Monash,04/28/2019,,13,26,32,24,30,32,24
Florey,04/28/2019,2,12,27,33,25,30,33,24
Monash,04/27/2019,,8,28,34,23,14,34,24
Civic,04/27/2019,,,27,33,27,22,33,24
Florey,04/27/2019,1,7,29,34,30,26,34,24
Monash,04/26/2019,,3,32,41,24,26,41,24
Florey,04/26/2019,2,6,31,35,29,26,35,24
Civic,04/26/2019,,,30,34,27,24,34,24
Civic,04/25/2019,,,33,41,24,33,41,24
Monash,04/25/2019,,11,35,41,24,32,41,24
Florey,04/25/2019,5,9,35,43,25,29,43,24
Florey,04/24/2019,4,20,30,37,19,24,37,24
Monash,04/24/2019,,18,31,37,17,20,37,24
Civic,04/24/2019,,,27,33,20,28,33,24
Monash,04/23/2019,4,13,29,35,20,21,35,24
Florey,04/23/2019,2,7,30,36,27,31,36,24
Civic,04/23/2019,,,27,32,19,18,32,24
Civic,04/22/2019,,,29,36,26,38,38,24
Monash,04/22/2019,7,13,34,41,27,35,41,24
Florey,04/22/2019,6,12,34,41,31,47,47,24
Monash,04/21/2019,6,17,30,36,36,45,45,24
Florey,04/21/2019,4,15,29,36,41,45,45,24
Civic,04/21/2019,,,28,34,31,37,37,24
Civic,04/20/2019,,,38,45,35,44,45,24
Monash,04/20/2019,7,20,41,50,39,51,51,24
Florey,04/20/2019,6,17,39,47,43,51,51,24
Civic,04/19/2019,,,36,44,36,26,44,24
Florey,04/19/2019,4,18,38,47,39,40,47,24
Monash,04/19/2019,6,21,36,45,30,35,45,24
Florey,04/18/2019,6,24,36,44,39,47,47,24
Civic,04/18/2019,,,33,40,41,34,41,24
Monash,04/18/2019,5,21,35,43,32,38,43,24
Civic,04/17/2019,,,29,33,31,25,33,24
Florey,04/17/2019,6,23,33,39,32,36,39,24
Monash,04/17/2019,4,25,36,43,30,33,43,24
Monash,04/16/2019,3,25,35,43,28,37,43,24
Florey,04/16/2019,5,22,36,44,28,38,44,24
Civic,04/16/2019,,,31,36,30,30,36,24
Monash,04/15/2019,2,11,35,43,39,52,52,24
Civic,04/15/2019,,,30,36,37,43,43,24
Florey,04/15/2019,3,18,34,42,44,55,55,24
Civic,04/14/2019,,,36,43,51,60,60,24
Florey,04/14/2019,2,3,39,48,59,78,78,24
Monash,04/14/2019,1,9,37,46,49,71,71,24
Monash,04/13/2019,5,17,41,50,50,71,71,24
Civic,04/13/2019,,,36,42,59,76,76,24
Florey,04/13/2019,8,19,40,49,63,95,95,24
Civic,04/12/2019,,,33,39,38,47,47,24
Monash,04/12/2019,3,24,38,45,28,33,45,24
Florey,04/12/2019,6,24,36,45,35,50,50,24
Civic,04/11/2019,,,28,33,22,17,33,24
Monash,04/11/2019,2,24,35,40,21,26,40,24
Florey,04/11/2019,3,18,34,42,21,20,42,24
Monash,04/10/2019,0,8,27,33,23,14,33,24
Civic,04/10/2019,,,24,28,32,19,32,24
Florey,04/10/2019,1,10,29,35,41,25,41,24
Civic,04/09/2019,,,23,29,43,28,43,24
Monash,04/09/2019,1,3,29,35,38,20,38,24
Florey,04/09/2019,2,8,29,35,51,28,51,24
Florey,04/08/2019,3,15,32,38,43,26,43,24
Civic,04/08/2019,,,26,32,40,28,40,11
Monash,04/08/2019,2,14,32,38,36,28,38,24
Florey,04/07/2019,4,17,35,42,56,34,56,24
Monash,04/07/2019,3,20,33,39,48,33,48,24
Florey,04/06/2019,3,17,35,42,33,30,42,24
Monash,04/06/2019,3,22,37,43,32,22,43,24
Florey,04/05/2019,2,5,27,33,20,14,33,24
Monash,04/05/2019,1,9,26,32,39,14,39,24
